military_id,full_name,rank,unit,assigned_vehicle_id,mission_role
3141092,גיא סגל,סמל,כפיר,MERKAVA-6,לוחם
4793511,נועם לוי,סמל,איסוף קרבי,ZEEV-1,טען
8043710,עומר פרידמן,סמל,צנחנים,MERKAVA-1,מפקד
6004718,אלון סגל,סמל,כפיר,HUMMER-8,מטוליסט
3366774,אריאל ביטון,"סמ""ר",גולני,HUMMER-2,קלע
1774347,משה פרידמן,טוראי,צנחנים,ZEEV-3,מטוליסט
7360846,רועי שוורץ,"רס""ל","מג""ב",HUMMER-2,נהג
3869986,אבי לביא,"רב""ט",גבעתי,לא משובץ,טען
6664951,דני שוורץ,טוראי,גבעתי,לא משובץ,"נהג נגמ""ש"
2990328,משה בר,טוראי,"מג""ב",NAMER-14,מטוליסט
7561849,יובל בר,"רס""ל",שריון 188,HUMMER-4,מאגיסט
6284883,משה סגל,"רב""ט","נח""ל",HUMMER-5,קשר
5147360,משה אברהם,"סמ""ר",גבעתי,MERKAVA-7,קשר
1840000,יובל מזרחי,טוראי,איסוף קרבי,ZEEV-2,חובש
6959418,עומר יוסף,סרן,צנחנים,לא משובץ,"נהג נגמ""ש"
2837783,מתן שפירא,"סמ""ר",כפיר,HUMMER-4,נהג
3504136,יוסי פרידמן,"רס""ל",שריון 7,HUMMER-5,תותחן
7338042,אריאל פרידמן,"רב""ט","מג""ב",MERKAVA-10,לוחם
7665490,אבי פרידמן,סמל,גבעתי,NAMER-2,נהג
2138256,דני דהן,סמל,שריון 7,NAMER-11,טען
5578545,אלון שפירא,"סג""מ","נח""ל",לא משובץ,חובש
3427294,דוד שפירא,סמל,שריון 7,לא משובץ,"נהג נגמ""ש"
3212076,דני שוורץ,"רב""ט",צנחנים,MERKAVA-8,לוחם
6661296,יוסי מזרחי,טוראי,שריון 401,MERKAVA-12,קלע
9386198,מתן פרץ,סגן,שריון 7,ZEEV-2,טען
6282537,דני ביטון,סגן,"מג""ב",HUMMER-8,מאגיסט
6790532,נועם בן דוד,"סג""מ",שריון 7,MERKAVA-3,קלע
1301852,גל כץ,סגן,שריון 401,לא משובץ,תותחן
2011366,אריאל גבאי,סמל,איסוף קרבי,ZEEV-4,קלע
3983136,אבי בן דוד,"רס""ל",גבעתי,לא משובץ,מטוליסט
9796134,דוד פרץ,טוראי,שריון 401,HUMMER-1,מאגיסט
6422111,משה לביא,סגן,איסוף קרבי,ZEEV-2,קלע
2278985,משה יוסף,סמל,כפיר,MERKAVA-13,מטוליסט
2672723,אלון לוי,"רב""ט",צנחנים,MERKAVA-2,קלע
6169027,אורי בר,סגן,גולני,NAMER-1,קלע
2939747,אורי פרץ,סגן,גבעתי,NAMER-3,תותחן
2150312,אורי סגל,"סג""מ",איסוף קרבי,MERKAVA-2,טען
5139234,אורי מזרחי,סמל,גולני,NAMER-2,טען
1998551,עידן לביא,סרן,צנחנים,HUMMER-1,קשר
2808061,גל חדד,"סג""מ",שריון 401,לא משובץ,לוחם
3300465,גל לוי,"רב""ט",גולני,לא משובץ,חובש
8388891,עומר לוי,"סמ""ר",כפיר,MERKAVA-5,מטוליסט
1691613,יוסי בר,"סמ""ר",הנדסה קרבית,ZEEV-6,נהג
2169199,דני לביא,"רס""ל",צנחנים,NAMER-12,קלע
4494304,יוסי אזולאי,סמל,שריון 7,ZEEV-1,מפקד
2448349,אריאל אברהם,"סג""מ",צנחנים,לא משובץ,מפקד
3879581,יוסי לביא,סגן,כפיר,לא משובץ,מפקד
2065710,תומר כהן,"רב""ט",גבעתי,MERKAVA-13,מאגיסט
9665053,אורי מלכה,סרן,הנדסה קרבית,MERKAVA-1,מטוליסט
2201808,עידן פרץ,"סמ""ר",כפיר,לא משובץ,לוחם
1152454,משה יוסף,"רב""ט",שריון 401,NAMER-6,קשר
3638465,נועם דהן,"סג""מ",איסוף קרבי,ZEEV-7,נהג
6985103,נועם אברהם,סרן,כפיר,ZEEV-6,מאגיסט
2803346,שלומי פרץ,סגן,"מג""ב",HUMMER-2,לוחם
8899704,אריאל גבאי,טוראי,כפיר,NAMER-1,קשר
9859320,רועי ביטון,סמל,"מג""ב",לא משובץ,מפקד
6752018,מתן שוורץ,"סמ""ר",הנדסה קרבית,לא משובץ,תותחן
5210741,עידן כץ,סגן,"מג""ב",NAMER-7,מאגיסט
4364208,גיא דהן,"רב""ט",שריון 7,MERKAVA-4,מאגיסט
6426086,גל בר,סרן,גולני,HUMMER-1,מפקד
2437528,יובל אברהם,"רב""ט",גבעתי,ZEEV-8,"נהג נגמ""ש"
3706142,גיא אברהם,"רס""ל",שריון 188,HUMMER-8,קשר
5468168,דוד שוורץ,"סמ""ר",גבעתי,HUMMER-5,מאגיסט
8842618,דני ביטון,"רס""ל",איסוף קרבי,MERKAVA-11,קשר
7013960,יובל ביטון,"סמ""ר",גולני,לא משובץ,קלע
7711542,עומר יוסף,טוראי,"נח""ל",NAMER-4,חובש
7378014,גיא פרץ,"סג""מ",שריון 188,MERKAVA-10,לוחם
2627268,אריאל כץ,סרן,כפיר,MERKAVA-5,קלע
2722760,עידן מזרחי,"רב""ט","מג""ב",NAMER-11,תותחן
8480548,יובל שוורץ,"רב""ט",גולני,לא משובץ,לוחם
6322821,דני סגל,"רס""ל","נח""ל",ZEEV-7,קשר
2943051,אבי לביא,סרן,"מג""ב",לא משובץ,טען
9952173,שלומי כהן,טוראי,גבעתי,לא משובץ,טען
5033892,עומר לביא,סרן,שריון 401,NAMER-13,מאגיסט
1155980,שלומי לוי,"סמ""ר",צנחנים,ZEEV-5,מטוליסט
6093450,נועם דהן,"רס""ל",גולני,MERKAVA-12,נהג
8595778,שלומי סגל,סמל,גולני,NAMER-2,קשר
2272649,רועי ביטון,"רב""ט",הנדסה קרבית,HUMMER-8,לוחם
3054216,תומר דהן,סגן,גבעתי,HUMMER-7,נהג
1012520,תומר לביא,סרן,"מג""ב",MERKAVA-3,מטוליסט
7494206,אריאל פרידמן,"סג""מ",שריון 188,לא משובץ,נהג
2070226,יוסי כץ,"סג""מ",שריון 7,NAMER-10,חובש
7257312,אריאל אזולאי,"סמ""ר",שריון 7,NAMER-14,טען
6738562,יוסי פרץ,סמל,שריון 188,NAMER-9,טען
4244890,אבי בר,סגן,שריון 188,MERKAVA-3,מטוליסט
8605138,עידן כץ,סגן,"מג""ב",ZEEV-6,מטוליסט
7509356,אורי מלכה,"סג""מ",שריון 7,HUMMER-4,קלע
1418720,דוד פרידמן,"רב""ט",גולני,NAMER-3,קלע
2456126,אריאל כץ,"רב""ט",צנחנים,ZEEV-2,טען
5543406,יקיר בר,"רס""ל",צנחנים,לא משובץ,טען
8704377,אורי ביטון,"רס""ל",איסוף קרבי,NAMER-10,טען
1157031,יוסי אזולאי,סמל,שריון 188,MERKAVA-12,"נהג נגמ""ש"
4220262,שלומי פרץ,"סמ""ר",שריון 188,NAMER-2,קשר
9187027,יוסי בן דוד,טוראי,"מג""ב",לא משובץ,מפקד
4704547,מתן שוורץ,"סמ""ר","מג""ב",MERKAVA-5,לוחם
1805413,משה אברהם,סמל,הנדסה קרבית,NAMER-7,תותחן
9794695,אבי בן דוד,"סג""מ",גבעתי,NAMER-12,טען
4520058,יוסי אברהם,"רס""ל",גולני,MERKAVA-11,קשר
5112632,גיא בר,"רב""ט",שריון 188,HUMMER-9,חובש
2108447,גיא סגל,"סג""מ",צנחנים,לא משובץ,מאגיסט
3201279,עידן חדד,טוראי,"נח""ל",NAMER-1,נהג
9771106,תומר פרידמן,טוראי,"מג""ב",ZEEV-4,מטוליסט
4722529,יוסי מלכה,סגן,שריון 7,MERKAVA-11,מפקד
5370771,יוסי גבאי,"סמ""ר",הנדסה קרבית,MERKAVA-7,חובש
3872666,רועי יוסף,סמל,שריון 401,HUMMER-7,לוחם
4502025,יקיר גבאי,"סמ""ר","נח""ל",MERKAVA-1,טען
1108347,יוסי לוי,"סמ""ר",שריון 7,HUMMER-3,מאגיסט
2948206,נועם סגל,"רס""ל",צנחנים,ZEEV-5,קשר
1611865,עידן פרידמן,סמל,צנחנים,MERKAVA-4,חובש
5804065,אבי כץ,סרן,שריון 188,ZEEV-5,תותחן
6550560,גל לוי,"סמ""ר",שריון 188,לא משובץ,מטוליסט
4236405,דוד יוסף,סרן,גבעתי,לא משובץ,נהג
1770027,שלומי לביא,"סמ""ר",שריון 401,MERKAVA-8,נהג
1142568,אבי יוסף,"רס""ל","נח""ל",לא משובץ,קלע
2673989,נועם שוורץ,סרן,שריון 401,NAMER-3,מאגיסט
1680765,אבי לוי,סרן,הנדסה קרבית,HUMMER-3,חובש
9774913,נועם יוסף,טוראי,"נח""ל",לא משובץ,קשר
1647432,עומר סגל,סרן,גבעתי,HUMMER-7,טען
7308387,יובל ביטון,טוראי,"מג""ב",ZEEV-5,חובש
1758305,שלומי פרץ,"רס""ל",כפיר,לא משובץ,טען
9251231,יובל מלכה,טוראי,כפיר,NAMER-5,נהג
1014709,מתן מזרחי,סגן,הנדסה קרבית,HUMMER-8,נהג
7514998,יקיר אברהם,"רס""ל","נח""ל",ZEEV-1,קלע
